ID;Tipo;Width;Height
f8b94d228-2;cat;127;225
961e1e37f-4;cat;400;300
d8ef5278e-2;cat;640;480
4b7d7cf86-1;cat;640;480
04075492e-5;dog;344;400
982db62b6-2;dog;300;400
25ef813ac-2;cat;400;300
b404dff05-8;dog;400;265
29319e758-1;cat;400;267
74dcc54a6-4;cat;400;270
765e7a7f2-1;cat;640;480
eb1a1f355-1;cat;400;300
6511382ae-8;cat;400;299
03824a75f-3;dog;400;300
5c041c0e2-6;cat;300;400
5b44a7500-3;cat;203;360
907ace0a0-1;dog;225;300
fa296a502-1;dog;270;480
f361a2abf-1;cat;400;363
a8100370f-1;dog;640;480
29dea5486-12;cat;640;480
f274e2f1a-3;cat;300;400
9527b6aa8-1;dog;400;300
71fc3458f-8;cat;412;480
5861379a1-1;cat;360;480
9c23894d6-5;dog;400;265
b6005e123-6;cat;267;400
4ecd78b51-5;dog;400;300
d642372a4-3;dog;400;355
5511f0864-3;cat;360;480
7f6bf9b5a-1;dog;361;480
153301510-2;dog;300;400
edadaa703-6;cat;400;300
982db62b6-4;dog;300;400
e497c67d6-8;dog;267;400
a840384b5-1;dog;640;481
b0e247ebe-3;dog;360;480
c1a57ec16-1;dog;270;480
f96a4bb28-1;dog;300;400
0d4cb6f3e-11;dog;360;480
2a330889e-1;cat;400;400
353b7f4dd-4;cat;640;360
c719a018f-12;cat;399;225
1310a8e26-3;cat;203;360
71e62fadc-2;dog;400;300
96696a8dc-2;cat;400;225
44fc199a9-2;cat;360;480
50872bf50-9;dog;640;480
a0eb7c6a8-1;dog;400;300
2d9806c8e-10;dog;225;300
dd87c7291-3;dog;300;400
b86e59039-2;dog;270;480
50ec5a223-3;cat;400;300
d74122e99-3;cat;640;480
ec7ed0e13-3;dog;240;400
a5adf305c-3;dog;300;400
6ee2a9856-2;dog;270;480
23dd6d50e-17;cat;400;299
68fc4ed82-1;cat;360;480
c6d6a446a-2;cat;270;480
6ea048760-5;dog;399;223
a6bbfd052-1;dog;400;300
76c10a26f-9;cat;400;400
9d0a2b055-10;dog;400;300
df41906e1-4;dog;360;480
e50d0a67b-1;dog;400;360
1ffaf0d37-1;cat;203;360
ab3a4fd7b-1;cat;358;480
c388d1185-7;cat;400;300
fdd8b3f5f-2;cat;640;480
376bb3871-1;dog;400;300
b5dc10a2d-2;dog;225;300
edc42eeff-1;dog;270;360
61b4e2e3f-2;dog;400;400
544617e06-1;cat;300;400
573d595ae-8;cat;400;299
a0948ab92-6;cat;360;480
d0a658844-8;dog;381;400
6fb52d68e-5;cat;300;400
391eea56f-2;dog;266;400
aa57b9a86-1;cat;640;456
22c8aac39-1;dog;300;400
9f80c2dac-2;cat;400;299
74dcc54a6-2;cat;399;300
09f0df7d1-2;cat;640;509
21740e1fc-10;cat;400;300
117433fdd-2;cat;400;300
32c2d5e35-5;dog;180;134
a1cfef42a-14;cat;400;299
21740e1fc-17;cat;400;300
cad7101c1-2;cat;400;400
fb9041dc1-6;cat;400;300
149841eec-19;dog;360;480
c7e34b4dc-3;dog;318;477
6ce710b09-2;cat;270;480
3ca4a01c2-1;dog;400;300
781a3e249-7;cat;400;300
7a61c43ef-1;dog;300;400
4330d10a7-7;cat;640;640
26415ba6c-1;cat;400;329
41f348cf1-2;dog;400;300
79c9fdc2f-4;dog;360;480
31822feba-2;dog;360;480
c89dac0eb-9;cat;400;300
506d810c6-1;cat;640;360
65cab688e-6;cat;400;300
c7582e4d8-2;cat;400;300
1085ab51c-6;dog;300;400
7538ca0a0-5;cat;240;161
580190a91-1;dog;240;320
cee2cdc6b-1;dog;640;360
880cf5656-2;cat;360;480
dfdebd462-2;cat;640;480
255556532-9;dog;640;480
01d2db31d-1;dog;300;400
60efb737c-3;dog;400;300
25ef813ac-3;cat;400;300
e13ee3b41-3;dog;400;300
a78586662-1;cat;240;320
5289587e1-7;dog;640;427
69cfd4b85-1;dog;240;320
20bdaaa94-1;dog;360;480
585178d96-2;dog;300;400
9dc583f86-4;dog;299;400
daafdd1af-2;cat;400;300
d76af589f-2;dog;400;265
7f1da4d1a-2;dog;357;480
29b2024e9-6;cat;400;268
d8786ffae-1;dog;395;400
e08dc0041-3;dog;400;400
18ce01ce5-5;cat;640;451
bc07b7683-7;dog;299;400
d2e0d7f2e-1;cat;640;480
0d747dd7f-2;dog;400;300
8c3507d46-4;dog;400;299
faa4fbbcd-1;cat;515;387
e00789295-4;cat;308;480
fb5c27aa4-5;dog;640;640
c9c98a0fc-2;cat;270;480
38a47590a-1;cat;300;400
abf5e67c4-3;cat;270;480
b951818f3-1;dog;270;480
7836c4fff-1;cat;640;480
68f3aa569-2;cat;424;424
c719a018f-5;cat;399;225
ce1882ef2-2;dog;400;339
d90e654cf-4;cat;400;300
8aa25140f-7;dog;400;299
930ae76c8-4;cat;400;300
d22d6ab8d-3;dog;359;480
59895a1d4-2;dog;400;267
17ba9dd47-7;cat;640;480
c2e3cc243-1;dog;640;640
09f0df7d1-1;cat;640;360
80723bbaf-4;dog;300;400
95cce48c5-19;cat;400;300
4deae07ae-2;dog;349;400
de331ffb3-1;dog;400;300
d78f74185-3;dog;640;480
7bc927c30-1;dog;252;399
26ac97f06-4;cat;400;300
257a74f2a-1;cat;270;480
028875e32-6;dog;400;267
b751252cd-9;dog;400;299
15cf69c03-7;cat;400;300
73e4143d9-1;dog;300;400
104164bee-23;cat;400;299
44dec604b-2;cat;400;300
50872bf50-8;dog;640;480
9affe6be5-3;cat;640;360
19701e571-7;cat;400;343
fef7155c5-7;cat;360;480
3c81193ea-4;cat;640;480
fb5f0696c-2;cat;640;360
28d5ac2cd-1;dog;480;640
16012e77c-6;dog;640;480
34e7e8d15-3;dog;300;400
74d765729-7;cat;400;267
2e14d82b1-2;cat;270;480
8ec8828d8-3;cat;640;480
429a63cc2-2;cat;360;480
93423d1fb-2;cat;400;300
cbf99eb85-1;cat;300;400
37ea615ca-1;dog;640;480
fb9041dc1-1;cat;400;300
3f561feb4-2;dog;270;480
eb2c6fe8f-1;dog;300;400
bce93927c-1;cat;270;480
7f71a71de-4;cat;400;300
a70374352-12;dog;640;427
2116330f3-7;cat;400;300
b48364c6f-1;dog;400;300
8c9b21e02-8;cat;299;400
cff947175-2;cat;400;300
5ba74447c-2;dog;400;300
1cb5e5477-4;cat;640;425
6136a04dc-9;cat;400;300
fd53861f5-2;cat;203;360
43c2b42f9-1;cat;400;300
689b99219-1;cat;640;480
adbd24c05-6;dog;640;480
d2e0d7f2e-6;cat;640;480
be8e347e5-13;dog;270;480
abb35cc95-9;dog;400;300
98ed9710d-4;dog;360;480
68e1a0e38-6;cat;400;400
fa3174b75-1;cat;360;480
573efb3a1-1;cat;400;300
a6c2d8124-3;cat;400;300
4d999d3a9-12;cat;400;267
676ef5349-7;dog;270;480
ccfef1621-3;cat;357;478
3abb52336-4;cat;299;400
1e0947834-1;dog;216;400
29222c3ef-3;dog;360;480
580190a91-7;dog;320;240
d4a2129b2-2;cat;640;480
e5fdf769e-1;dog;373;480
a331ef890-22;cat;640;480
26af6208d-2;cat;640;425
4aa138801-4;dog;400;300
317e30302-3;dog;360;480
4a7e6a55b-1;cat;640;480
19b089699-1;dog;300;400
56ccfe80c-4;dog;434;480
43f1ffd92-1;cat;640;480
32ae6aa25-4;dog;400;299
5e5b97e53-1;dog;159;190
c22229ea8-4;dog;400;300
ddc481283-1;dog;400;266
ae57f8d52-4;dog;640;640
97703b6d0-19;dog;239;400
0f9d57161-1;cat;640;360
5229f814a-22;dog;300;400
793f7eaa1-3;dog;347;361
bd348bdea-1;dog;300;400
13529cfa1-1;cat;300;400
4eb8be143-4;cat;150;100
be2dce744-3;cat;177;266
6a7a61b8c-7;dog;400;300
b76d46279-1;cat;400;300
41a11714f-2;cat;400;300
20a2b69ce-5;dog;360;480
69cfd4b85-3;dog;400;385
4daed7231-2;cat;465;480
0b41e22a9-13;dog;300;400
a637964c7-4;dog;400;300
a2968f580-3;dog;479;480
c62e43019-5;cat;399;284
e3e4e30c3-6;cat;400;268
f106c74a1-3;cat;400;300
5229f814a-27;dog;400;300
48e5ad418-5;cat;266;400
a196411a9-3;cat;640;478
352aec027-4;cat;640;480
8b4c08434-1;cat;360;480
b7f8c5bb2-3;dog;400;265
8c841f023-2;dog;300;400
1d6fb6261-1;dog;640;580
7c2b47078-1;cat;405;480
0bbbc724a-2;dog;360;480
18b11332e-4;cat;270;480
0c18817ce-5;cat;400;299
3a2cb5be8-3;cat;360;480
390cdc0ec-17;cat;400;267
5005d96ce-4;cat;640;480
58d1a3634-6;cat;640;360
2c3c58b1f-11;cat;399;266
dd0fb7271-1;dog;300;400
79c9fdc2f-3;dog;640;480
511fb9ab2-3;dog;400;300
e26c08ffd-3;dog;400;225
40f108d98-4;cat;225;399
ebcaa9c20-3;dog;298;400
ab4574ea8-7;dog;360;480
2bf288d6f-1;cat;400;266
853dcfe06-1;dog;400;300
f8f0cfa62-5;dog;270;480
eb22b1069-3;dog;360;480
cf0c93dad-2;cat;400;300
ec84f5484-1;dog;320;480
61dd5b10e-4;dog;270;480
1bf8c8a2d-19;cat;270;480
8c3507d46-2;dog;400;300
6ff05b0ef-1;dog;299;400
474329e9b-3;cat;640;480
cc99037d5-4;dog;400;300
576538092-5;cat;640;480
8f032b749-2;dog;400;300
618179bc3-1;dog;640;480
fda872629-1;dog;382;480
500f826ac-2;dog;267;400
da62f3647-5;cat;400;300
a5c9b03db-1;dog;360;480
5ac0afae7-2;cat;300;400
399013029-1;cat;400;399
43fe9e1f1-1;cat;400;225
6358b3642-1;cat;640;640
c03d290a1-2;cat;640;480
7e3a1d138-6;dog;300;400
2b721e67b-2;dog;395;400
f355e3110-1;cat;400;300
a196411a9-5;cat;549;480
ed0118fa3-3;cat;400;300
33854e4f1-1;dog;299;400
21e2dc73a-4;cat;640;480
f150ecb1c-8;dog;640;426
e26c08ffd-2;dog;225;400
0b5242b0d-11;dog;400;299
4e26f6237-5;dog;289;400
93c707905-5;cat;400;250
703e4f919-2;dog;300;400
95cbd8f9c-3;cat;400;267
4beab1c3c-2;dog;270;480
d50820857-6;cat;400;266
2fab2fffd-5;cat;400;266
390cdc0ec-13;cat;267;400
b87e49114-1;dog;400;300
16f35966b-6;cat;640;480
e29f9a772-12;cat;400;266
794a46eaa-8;dog;400;235
c910d02ca-3;dog;400;400
ecd1818d6-1;cat;640;427
0ed8aeda3-3;cat;300;400
dd87c7291-2;dog;300;400
00d0f85a2-4;cat;400;300
877753199-1;dog;360;480
25ef813ac-1;cat;300;400
93604bb92-11;cat;400;300
6387fd0b7-5;cat;400;300
8f2b2bc90-1;cat;400;186
4ec6b09da-1;dog;326;400
d78ab2002-1;dog;300;400
e320369ac-2;dog;640;480
149841eec-22;dog;360;480
61c44ad0f-10;dog;400;265
37a0b72a4-2;dog;299;400
d37e37a9c-10;cat;400;300
798db5826-2;cat;480;480
a331ef890-15;cat;640;425
737be5779-2;dog;360;480
24b90ff21-2;cat;400;349
8d6b9ccc1-3;cat;400;300
418a12fa7-13;dog;404;480
e7ef7ee2f-1;dog;270;480
27cf589b4-1;cat;640;480
873449e22-2;cat;400;300
866333fc1-2;dog;299;400
b400bc4df-3;dog;360;480
99a11f09d-3;dog;400;300
60efb737c-2;dog;400;300
bf871912e-4;dog;360;480
9fc096ece-4;cat;270;480
f355e3110-2;cat;400;300
98ff9bd18-2;dog;199;369
257a74f2a-2;cat;270;480
5c045d946-8;dog;400;267
9b9253143-2;dog;640;360
1b433696a-12;dog;400;400
2c7898e5e-2;dog;360;480
548bbce9b-1;dog;346;480
bd9065dcd-4;dog;400;300
d1d9609a6-9;dog;268;400
a9475624a-3;dog;458;480
f6d1a2562-9;cat;400;300
7b55fa473-4;dog;640;360
390cdc0ec-5;cat;271;400
b87e49114-2;dog;400;300
386e5d4dc-3;dog;360;480
a2c811cb2-3;dog;400;348
544617e06-2;cat;300;400
da2f83c72-4;dog;400;300
79773f498-1;cat;300;400
65cab688e-1;cat;400;239
ffc5dccdd-1;dog;300;400
1a3ebafb4-1;dog;265;400
75d4052a6-11;cat;400;299
5c9538ed0-3;dog;640;480
e80826775-1;dog;640;478
5c0a38a06-4;cat;400;300
390cdc0ec-12;cat;400;267
4d51be887-5;dog;360;480
68f0bebe7-2;dog;270;480
835babbf8-2;dog;270;480
2d75e8193-2;cat;640;360
ff441ba85-3;cat;300;400
255556532-1;dog;640;480
0b10de1b6-4;dog;360;480
db6c077d0-8;dog;400;300
b573c3587-3;cat;400;300
ae99bec5c-1;cat;640;480
0061e61ce-1;cat;640;480
c18a3b783-12;cat;400;300
a4e656a52-7;dog;400;299
d8c70bc6c-5;dog;400;384
86e923f63-2;cat;400;300
bb5c08008-6;dog;359;400
40f108d98-3;cat;399;225
196d30c9a-7;dog;640;480
ae4885e1a-2;cat;400;299
67889f775-2;dog;360;480
ec51bda06-3;dog;640;480
15dff57fc-2;cat;360;480
41309214f-1;cat;203;360
79723bf88-2;dog;270;480
202a57eaa-2;dog;360;480
156832d2d-17;cat;400;300
d4238a1ce-3;dog;320;426
4f0eb9cd9-8;cat;299;400
529d52fea-2;cat;360;480
99f30d086-4;dog;400;300
19b80fb4d-1;cat;400;300
93c707905-7;cat;400;300
fa8a27964-1;dog;400;337
200adb8e0-4;dog;400;265
24b980767-1;dog;236;400
a354bdd09-5;dog;356;480
1e8340628-1;cat;640;480
fe26e0eeb-2;dog;400;299
78e5125b3-1;dog;300;400
4c28abf85-3;dog;640;632
bfe86f653-2;cat;178;267
494ab93cc-1;dog;300;400
5e272b180-2;dog;640;360
60beb3a95-6;cat;640;480
8df6d215e-1;cat;400;300
9fa7fb235-3;cat;640;640
280dd2698-6;cat;400;301
9c23894d6-13;dog;400;265
1a4dfd6af-4;cat;400;300
1b5167d86-22;dog;400;300
963661d40-1;cat;400;400
124152c20-1;cat;400;300
a40031b95-4;dog;640;360
65cab688e-5;cat;400;300
18ce01ce5-2;cat;640;297
0c739cff7-2;cat;640;360
73c791c26-2;dog;400;300
55cfab38a-2;dog;345;480
ec0c0de08-3;cat;400;300
c554a982e-1;cat;400;322
fb568daf8-2;cat;400;300
6af548152-1;cat;399;301
6291b09f4-2;dog;203;360
8ca1dc122-3;cat;640;361
5ef33a2b3-3;cat;400;300
03a2876c0-14;cat;360;480
09e9b294a-2;dog;225;300
ba4eeb11c-2;cat;400;267
e5ca7809a-3;cat;230;384
937ff0f91-2;dog;400;300
8af48a66d-1;cat;411;480
314d76f98-1;cat;400;300
2ba2db973-2;cat;300;400
26af6208d-1;cat;510;370
08e585e1a-3;cat;400;225
49d53d375-3;dog;335;480
60cd5f3ed-3;dog;640;427
0303de476-21;dog;400;300
5ad5692e7-2;cat;300;400
0d4cb6f3e-7;dog;360;480
d9bb1057f-1;cat;400;300
65fe58547-2;cat;640;480
b82eb79e5-1;cat;640;480
6e2db03de-2;cat;203;360
c27b099b4-9;cat;400;300
577518f6f-2;cat;400;300
7fddb9b80-3;dog;360;480
8611934a4-1;cat;300;400
6c6a12fd4-1;cat;368;480
4a2f6d95f-3;cat;400;267
1b834ceb7-1;cat;400;300
51671053b-1;cat;400;400
d64a4e098-2;cat;400;300
5776d4621-1;cat;320;240
412bd942a-1;cat;400;225
7d2eb09db-3;cat;640;480
ee7acb89a-6;dog;360;480
c30646460-4;dog;360;480
3927c44f1-2;dog;270;480
455947671-4;cat;640;640
051f42bba-3;cat;640;515
adbad85c3-11;dog;299;400
1a4dfd6af-1;cat;400;300
149841eec-6;dog;360;480
0b3355ca8-3;dog;400;300
ae6216284-4;dog;400;300
b9372348e-4;cat;360;480
b19db199c-2;dog;360;480
7d7cbe3da-3;dog;360;480
bc1ec216e-4;dog;270;480
0d23ea9dc-2;cat;400;300
04029c4ba-2;cat;400;300
d43b1bc65-4;cat;400;300
f6bbd922d-1;dog;300;400
a11e54f2d-1;dog;640;360
6511382ae-6;cat;400;299
3a0d06e63-1;cat;640;640
dca8e7ec8-1;dog;360;480
3f9caee13-1;dog;360;480
74d765729-20;cat;400;267
8d6b9ccc1-1;cat;400;300
842a87632-8;dog;640;480
65ff9aae7-4;dog;203;360
8f1dbd49b-2;dog;640;480
9dc583f86-3;dog;400;299
95cce48c5-23;cat;400;300
955d418d3-2;dog;466;480
98aea7843-4;cat;640;427
9c064fb33-1;dog;299;399
a331ef890-4;cat;640;480
6740d622b-1;dog;343;480
e4b775480-5;cat;360;480
4d51be887-7;dog;360;480
63ecee81a-3;cat;400;266
03a2876c0-1;cat;315;479
8c9b21e02-12;dog;400;299
2550ca216-6;dog;640;491
f4c5c23da-1;cat;349;400
16a158ad3-2;dog;400;300
3f8aa8d5b-16;dog;240;320
533573bf7-3;cat;640;480
d90e654cf-1;cat;400;400
e16c0610b-9;dog;203;360
000aa306a-4;dog;364;400
cc99037d5-1;dog;400;300
098ca64da-1;dog;270;480
10d0c5d3a-4;cat;400;268
e80887885-4;cat;400;300
e4ef8860c-5;cat;400;338
31c5d0f2a-1;dog;400;300
af4c9b661-1;cat;400;297
e29e29b9e-7;dog;225;400
34a2402b3-1;dog;400;300
61c44ad0f-8;dog;400;265
c84910ba9-2;cat;400;300
7bc927c30-2;dog;252;400
8823d7a46-1;dog;400;300
28d5ac2cd-5;dog;356;480
58c7cd785-3;dog;270;480
12799a2af-2;dog;270;480
87e930a77-2;cat;400;300
1a84ca4a0-2;dog;270;480
4f47bc0d4-3;cat;423;480
3a5e66be4-2;dog;400;225
e58620db8-7;cat;300;400
3f38eb232-3;dog;400;300
e5ed347f3-1;cat;400;300
638a8f3c5-1;dog;400;400
5d47e7e18-10;dog;400;265
b7638e54e-12;dog;300;400
18ce01ce5-10;cat;640;406
e50d0a67b-2;dog;239;400
f6d983ac0-2;dog;300;400
4e117f566-12;cat;640;384
9f07d1447-11;cat;300;400
2a631f760-5;cat;400;299
6511382ae-7;cat;400;299
84800ca47-1;dog;412;480
61acd419c-5;dog;400;300
4c7d71274-1;dog;640;640
76c10a26f-16;cat;300;400
e0deab631-1;dog;375;400
9161ae29d-4;cat;640;413
fa3174b75-4;cat;640;480
bc8252bff-1;cat;400;300
47ebd0e43-2;dog;300;400
dce0cb798-3;cat;315;400
3e8c5fbbb-1;cat;300;400
9f80c2dac-4;cat;400;299
4e49e2df7-1;cat;400;225
fc72d7d6b-3;dog;639;360
3d9801b54-3;cat;266;400
842a87632-15;dog;360;480
18f7b2cde-1;cat;300;400
4ff130a2a-2;dog;400;400
618179bc3-2;dog;640;480
ec875509c-2;cat;300;400
a3f81690b-1;dog;400;266
8c962cbe0-3;dog;314;235
ffb8f5704-5;cat;453;480
9d0a2b055-5;dog;400;300
576538092-1;cat;640;480
eb31928f8-2;dog;640;480
a4e656a52-3;dog;299;400
af1df99b8-1;dog;400;225
8876989c6-2;dog;360;480
c88bcb58e-1;dog;400;400
11feed87f-2;dog;400;267
fbcedbe37-2;dog;360;480
1db7f99bc-1;dog;360;480
ae6216284-10;dog;133;133
ae4885e1a-7;cat;299;400
5281a6e10-3;cat;640;480
25c4bbdac-2;cat;640;480
e961931e3-3;dog;640;480
eb23b2a17-1;cat;640;360
fbe32cae9-1;dog;271;479
78f4381c8-1;dog;270;480
21d253ed7-1;dog;400;300
33782f0e0-3;dog;400;299
8aa79a9ae-4;dog;230;384
e08dc0041-1;dog;300;400
addb89bf3-2;dog;323;480
db62115f9-3;dog;300;400
cb3c9f878-2;dog;400;300
c24b2568f-3;dog;360;480
1bf8c8a2d-27;cat;270;480
81d10dff7-5;dog;400;300
92f11c3c9-2;dog;400;266
a70374352-5;dog;640;480
abfdf0fc3-11;cat;400;300
ea4e9430a-9;dog;640;513
e16c0610b-7;dog;203;360
29d274de2-4;dog;400;300
782200e7b-1;dog;400;300
ecd1818d6-3;cat;270;480
4330d10a7-5;cat;640;607
0a00680eb-9;cat;399;225
17b787e5f-1;dog;400;308
9772a73ec-1;dog;300;400
c10a394dc-8;cat;640;640
8bfeccb9d-5;dog;360;480
bb3b78edb-7;dog;640;480
be85036be-6;dog;300;400
60beb3a95-7;cat;640;480
5ba1b66b9-18;cat;640;480
30362bb8a-2;dog;300;400
e28d2d205-1;dog;640;480
ac3c97959-1;dog;360;480
34fe664da-1;cat;352;480
77865b3cc-4;dog;400;300
c12dca23a-1;dog;640;360
5db0437fd-3;cat;640;480
0705701d9-1;dog;267;400
6387fd0b7-2;cat;400;300
317e30302-8;dog;360;480
7aea6a6d8-3;dog;639;359
63d3ad497-6;dog;400;299
c29d4becf-2;dog;400;300
61b4e2e3f-1;dog;400;400
cab21901e-2;cat;360;480
095de27a2-10;cat;270;480
a8073348d-1;dog;400;300
55cf77eb8-2;dog;203;360
d2937f8aa-17;cat;640;360
c910d02ca-5;dog;225;400
a816831fb-1;dog;360;480
e00789295-5;cat;640;530
93604bb92-4;cat;400;300
fa3174b75-2;cat;360;480
143a8c2f7-5;cat;639;284
9a3da1ca4-2;dog;400;300
0afb94478-3;dog;298;400
5005d96ce-1;cat;360;480
be16e9744-11;cat;400;299
d0dfb0776-2;dog;640;480
dec6e72bf-1;dog;320;240
71e9e03c8-10;cat;270;480
0f82cea1e-2;cat;400;300
155521e06-1;cat;640;640
c14becd10-1;cat;300;400
3100a668c-5;cat;299;400
e60e35c81-8;cat;299;400
735cca94d-2;cat;640;631
e83248628-1;cat;360;480
23dd6d50e-15;dog;400;299
9c23894d6-1;dog;400;265
29167255b-3;cat;270;480
f18b627ef-2;cat;640;640
13289f5de-3;cat;266;400
3558f46af-10;cat;300;400
4c6b9ce76-1;dog;270;480
3f8aa8d5b-2;dog;240;320
acc8763bc-1;cat;240;320
f291aa558-3;dog;400;300
68f1de50b-2;dog;300;400
d37e37a9c-7;cat;400;300
f743529bf-1;dog;400;300
0c3fcebaf-1;dog;270;480
301bc6c2e-1;cat;400;300
ef55aaa19-1;dog;400;299
fc65c8cd8-3;cat;640;457
1688063e6-1;dog;300;400
a1267e7b0-2;dog;400;300
861fe5bc1-2;dog;400;300
df95de498-3;cat;640;592
5fee60b0c-5;dog;400;225
d2fe95e5d-1;cat;400;234
46d00f27d-2;cat;400;300
e8ee45ee4-1;dog;400;272
029e31937-7;cat;640;480
819610fb0-6;cat;400;267
88dea0091-1;dog;271;333
5fa68411b-2;dog;640;605
63ecee81a-9;dog;400;268
b76d46279-3;dog;400;300
35c1dc094-2;dog;640;480
ef55aaa19-2;dog;400;261
d40a093b0-2;cat;400;300
c03d290a1-5;cat;640;480
9affe6be5-1;cat;640;360
a23b4743a-1;dog;400;315
99f56cb3c-7;cat;400;266
bdda2f67c-3;dog;203;360
edbd2aefd-3;dog;640;384
cfb7c82c6-1;cat;400;300
202a57eaa-7;dog;360;480
19701e571-3;cat;400;400
37f0dfa26-2;dog;179;400
373019036-3;dog;300;400
e6e8038c4-3;cat;400;300
efef8ccab-1;cat;360;480
5d963ac54-3;cat;300;400
353b7f4dd-1;cat;640;427
2a2039d2a-6;dog;299;400
a2c811cb2-5;dog;300;400
79fd4f1dc-1;cat;640;640
e17644953-4;cat;400;300
de69b768b-2;dog;400;267
c9c98a0fc-4;cat;640;384
d8c70bc6c-2;dog;400;251
6b357800a-5;dog;400;265
26ac97f06-3;cat;400;300
6af548152-2;cat;378;400
1bc38ee4a-1;dog;339;479
e133e8dcd-4;cat;400;299
91b30b476-6;cat;640;640
fda872629-2;dog;640;640
246690c06-5;cat;400;300
5ae353356-4;cat;320;240
b86e59039-5;dog;360;480
5c09bd0dd-3;cat;203;360
5e9b65bd8-1;cat;400;300
915d801c0-2;dog;300;400
9c23894d6-11;dog;400;267
6947884b0-3;cat;640;427
